sentence,predicted,correct_label
What's the difference between a Mormon man and a Muslim man. A Mormon man gets 72 virgins and THEN kills himself.,[0.5578517913818359],1
"My girlfriend is like the square root of -100. She's a 10, but she's imaginary.",[0.5675771832466125],1
What do you call bad breath that sneaks up on you? Ninjavitis.,[0.574994683265686],1
I met a girl who said she liked Imagine Dragons. I asked her if she could Imagine Dragon these nuts across her chin.,[0.5432408452033997],1
"I'm waiting for them to invent a pleasure robot that's so lifelike, it won't have sex with me.",[0.5514317154884338],1
Barack Obama goes to a costume party while giving his wife a piggyback ride. Someone asks him what he's dressed up as and he responds 'I'm a snail!' That's M'Shell on my back,[0.5597847104072571],1
Brad Pitt should have his own line of deodorant called Brad's Pits,[0.5706598162651062],1
"Baby yoda = delight, ancient yoda = enchanting, teen yoda = friggin impossible",[0.5757541060447693],1
"A boy was born of an Indian, Chinese, Irish, and Italian grandmother... They couldn't settle on a name, until it hit them! They named him Ravi O. Lee ",[0.5592865347862244],1
My girlfriend dressed up as a policewoman and told me I was under arrest on suspicion of being good in bed. After 2 minutes all charges were dropped due to a lack of evidence.,[0.5470756888389587],1
I've been so stressed recently I've been doing that Chinese thing with the needles. You know...heroin.,[0.5595325827598572],1
Black women make the best wives. You can't see their bruises.,[0.5814262628555298],1
"My town never changes population. Everytime a girl gets pregnant, a guy leaves town.",[0.5542445182800293],1
Heading to Chinatown after work... I heard it's Erection Day.,[0.5525349378585815],1
"I wanna tell my girlfriend she's using way too much teeth when she goes down on me, but I don't want to hurt her feelings. How do I soften the blow?",[0.5519052743911743],1
*takes cute picture with child for Instagram *writes inspirational post about being a good parent while ignoring child for 45 mins,[0.5548480153083801],1
"This girl I like said she didn't like bondage..... ....Me either, but you're the one who said No.",[0.5473910570144653],1
What do they call mosquitoes in Pakistan? Churchitoes,[0.5769715905189514],1
You know what they say... Once you go black... You're a single mother.,[0.5571713447570801],1
"Hey grandson, what's the name of that german man who makes me go crazy? Alzheimer, grandma, Alzheimer...",[0.5709577798843384],1
I got down on one knee in the middle of a busy restaurant and pulled out the ring. The whole place was in tears! 'Marry me... and I'll put it back in the grenade.',[0.5361883044242859],1
Did you hear about the Leper going for the masturbation world record? Eventually he pulled it off!,[0.5541110038757324],1
What happened to the blind circumcisor? He got the sack.,[0.5604211091995239],1
Why did the feminist cross the road? To suck my cock!,[0.5578866600990295],1
"What's the difference between a police officer and a bullet? When a bullet kills someone else, you know it's been fired",[0.5774675011634827],1
Lonely and awkward people are waiting to talk to you on Twitter right now,[0.5793507099151611],1
My Christian friend told me he doesn't believe in gay marriage. He said there should be no such thing as a happy marriage.,[0.5560727119445801],1
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,[0.5704523324966431],1
Turn a regular sofa into a sofa bed by simply forgetting your wife's birthday.,[0.5554523468017578],1
"When I put the left AirPod in my left ear on the first try, I know it's gonna be a great day.",[0.5551742911338806],1
"I tried telling a joke my friend from Baghdad told me. Unfortunately, Iraqed it.",[0.5428009033203125],1
I bet deaf people get really confused when they talk to someone who is applying hand lotion...,[0.5569491982460022],1
"This year, I'm breaking with tradition a little and stuffing my turkey with delusions of grandeur.",[0.5590805411338806],1
This morning my kitten was riding around the house on my dog's back like he was on a horse. I'd post a video of it but I made it up.,[0.5471464395523071],1
Two nuns walking through the park were confronted by a flasher. The 85-year-old nun immediately had a stroke. The younger one didn't touch it.,[0.5623897314071655],1
What do you call a group of confused Spanish speaking racists? The Qué Qué Qué,[0.5706502795219421],1
My girlfriend complained that I treat her like a slave. So I sold her.,[0.545689582824707],1
"Movie pitch: Millenials buy a house that turns out to be haunted, but they're just grateful they were able to afford something in a good school district.",[0.5517259240150452],1
"[at the gym] Him: Hey man, could you spot me? Me: Sure. What do you need... 10... 20 bucks? Him: Uhh..? Me: Just kidding. I have no money.",[0.5566864609718323],1
"A woman was taking a shower when the doorbell rang. ""It's the blind man"" he called. That's ok, she thought, so she quickly ran downstairs naked to open the door. ""Nice tits"" he said. ""Now, where do you want those blinds?""",[0.549095094203949],1
What's up with black people? They're not black... And they're not people.,[0.5736492872238159],1
"U2 are one of Ireland's most successful bands. Or according to their tax returns, one of Netherlands' least successful hardware store owners.",[0.5589311122894287],1
What's a cannibal's favourite game? Swallow the leader.,[0.5573971271514893],1
"Every time spellcheck corrects “does” to “dies”, for a split second I panic that the subject of the sentence that has passed away",[0.5613694787025452],1
"Here in California Catholics use non-fat, high fiber communion wafers. They call them ""I can't believe it's not Jesus""",[0.5537536144256592],1
"Why is a lesbians tea green, slimy, and give you a great buzz? Because it's aLGae Bee Tea",[0.5684959292411804],1
