sentence,predicted,correct_label
What's the difference between a Mormon man and a Muslim man. A Mormon man gets 72 virgins and THEN kills himself.,[1.0],1
"My girlfriend is like the square root of -100. She's a 10, but she's imaginary.",[1.0],1
What do you call bad breath that sneaks up on you? Ninjavitis.,[1.0],1
I met a girl who said she liked Imagine Dragons. I asked her if she could Imagine Dragon these nuts across her chin.,[1.0],1
"I'm waiting for them to invent a pleasure robot that's so lifelike, it won't have sex with me.",[1.0],1
Barack Obama goes to a costume party while giving his wife a piggyback ride. Someone asks him what he's dressed up as and he responds 'I'm a snail!' That's M'Shell on my back,[1.0],1
Brad Pitt should have his own line of deodorant called Brad's Pits,[1.0],1
"Baby yoda = delight, ancient yoda = enchanting, teen yoda = friggin impossible",[1.0],1
"A boy was born of an Indian, Chinese, Irish, and Italian grandmother... They couldn't settle on a name, until it hit them! They named him Ravi O. Lee ",[1.0],1
My girlfriend dressed up as a policewoman and told me I was under arrest on suspicion of being good in bed. After 2 minutes all charges were dropped due to a lack of evidence.,[1.0],1
I've been so stressed recently I've been doing that Chinese thing with the needles. You know...heroin.,[1.0],1
Black women make the best wives. You can't see their bruises.,[1.0],1
"My town never changes population. Everytime a girl gets pregnant, a guy leaves town.",[1.0],1
Heading to Chinatown after work... I heard it's Erection Day.,[1.0],1
"I wanna tell my girlfriend she's using way too much teeth when she goes down on me, but I don't want to hurt her feelings. How do I soften the blow?",[1.0],1
*takes cute picture with child for Instagram *writes inspirational post about being a good parent while ignoring child for 45 mins,[1.0],1
"This girl I like said she didn't like bondage..... ....Me either, but you're the one who said No.",[1.0],1
What do they call mosquitoes in Pakistan? Churchitoes,[1.0],1
You know what they say... Once you go black... You're a single mother.,[1.0],1
"Hey grandson, what's the name of that german man who makes me go crazy? Alzheimer, grandma, Alzheimer...",[1.0],1
I got down on one knee in the middle of a busy restaurant and pulled out the ring. The whole place was in tears! 'Marry me... and I'll put it back in the grenade.',[1.0],1
Did you hear about the Leper going for the masturbation world record? Eventually he pulled it off!,[1.0],1
What happened to the blind circumcisor? He got the sack.,[1.0],1
Why did the feminist cross the road? To suck my cock!,[1.0],1
"What's the difference between a police officer and a bullet? When a bullet kills someone else, you know it's been fired",[1.0],1
Lonely and awkward people are waiting to talk to you on Twitter right now,[0.0],1
My Christian friend told me he doesn't believe in gay marriage. He said there should be no such thing as a happy marriage.,[1.0],1
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,[0.0],1
Turn a regular sofa into a sofa bed by simply forgetting your wife's birthday.,[1.0],1
"When I put the left AirPod in my left ear on the first try, I know it's gonna be a great day.",[1.0],1
"I tried telling a joke my friend from Baghdad told me. Unfortunately, Iraqed it.",[1.0],1
I bet deaf people get really confused when they talk to someone who is applying hand lotion...,[1.0],1
"This year, I'm breaking with tradition a little and stuffing my turkey with delusions of grandeur.",[1.0],1
This morning my kitten was riding around the house on my dog's back like he was on a horse. I'd post a video of it but I made it up.,[1.0],1
Two nuns walking through the park were confronted by a flasher. The 85-year-old nun immediately had a stroke. The younger one didn't touch it.,[1.0],1
What do you call a group of confused Spanish speaking racists? The Qué Qué Qué,[1.0],1
My girlfriend complained that I treat her like a slave. So I sold her.,[1.0],1
"Movie pitch: Millenials buy a house that turns out to be haunted, but they're just grateful they were able to afford something in a good school district.",[1.0],1
