sentence,predicted,correct_label
"In 2018, a Missouri deer poacher was ordered to watch Bambi once a month for the entirety of his year-long prison sentence.",0,1
January is the Monday of months,0,1
"I'm so angry at Facebook. I can't believe they would leak my information after I signed up without reading any of the legal documentation, volunteered all the personal details about my life, and let them track my internet activity. How could they do this to me?",0,1
I used to get so upset by this one twitter account that went out of their way to shade me constantly. They knew everything I’d ever done and read every article about me and had a criticism for all of it. Then I realized: they’re watching EVERYTHING i do! They’re my biggest fan!,0,1
"I really enjoyed @JimCarrey's memoir. Like Jim, the book is wildly comic, inventive, subversive, and made primarily of compressed paper pulp.",0,1
A parody of The Mandalorian but it’s The Mindalorian? Am I’m in the whole costume but doing Mindy-type stuff?,0,1
We shot this entire scene in an actual 100 year old barn that was still being used for livestock. It smelled lovely. Realistic Film Making,0,1
Listen to your instincts. Your gut is always right. It may be a little bloated sometimes...but it's right.,0,1
"On October 1st, 1861, Charles Darwin wrote in his journal: I am very poorly today and very stupid and hate everybody and everything.",0,1
"In the new James Bond movie, Bond apologizes to women for his behavior and is never seen again.",0,1
"To the haters on Twitter, if you don't like me or my tweets, I have an important message for you: Would 5 bucks change your mind? I need people to like me because it boosts my low self esteem.",0,1
Welcome to your forties. Get ready to be too tired for pretty much everything that brings joy in life.,0,1
"Martin Short, Steve Martin, and Tom Hanks have 'colonoscopy parties' every other year. They arrive at Steve's house around 5 PM the night before to prepare and travel together the next day to get their colonoscopies.",0,1
There are two words in life that will open a lot of doors for people Push and pull ROFL,0,1
"it's better to give than to receive Especially, if it's anal.",0,1
"Ali Yeganeh, the inspiration for the Soup Nazi, didn't like the Seinfeld character based on him. When Jerry Seinfeld went to his restaurant a few years after the episode aired, Seinfeld sarcastically apologized to him. Yeganeh shouted, no soup for you and kicked him out.",0,1
Advice is the only commodity where the supply always exceeds the demand.,0,1
"A detail lost in the story of Jesus: how frequently, and early in the day he began turning water into wine.",0,1
No more Unsolved Mysteries before bed.,0,1
Fortune Nookie. Classic,0,1
