sentence,predicted,correct_label
"I can't never remember if I'm lisdexic Or epileptikjlfasd,md,.dsaf-aaaaafddasfrwe",0,1.0
"Abdul, my neighbour was crying... ""What's wrong?"" I asked. ""We lost our baby daughter, cot death"" he replied. ""Oh dear, that's so sad, never mind Abdul"" I said, ""just think of her as another virgin in paradise for your brave soldiers now""",0,1.0
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1.0
"Justice is best served cold. Because if it were served warm, it would be justwater.",0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you ""just be yourself"". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1.0
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1.0
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1.0
How do you navigate holidays like father's day in queer relationships where the bio dad isn't involved? Auntie Red Tweet Tea,0,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1.0
Met gayla.,0,1.0
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1.0
"""Part Of Your World"" was almost cut from ""The Little Mermaid.""",1,0.0
"Go the extra mile, it's never crowded",1,0.0
It's cool to be nice to people,1,0.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0.0
Ladies take him with you shopping and ask him to choose some outfits which he would like you to wear.,1,0.0
To people like JK Rowling I have a serious question. . . Where are all of these hypothetical bathroom attacks from trans women?,1,0.0
"Correction: It is WORLD Prematurity Day. Women w/ increased risk: low income, African American OR birthing b4 17 yrs old or after 35 yo",1,0.0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0.0
"The rules for playing basketball in North Korea are different. Slam dunks are three points, ""nothing but net"" shots are four points and teams lose points when they miss free throws.",1,0.0
I wish these guys would get outta the bunker and do something!!!!!,1,0.0
"But you wake up one day and you look around... and you dont recognize anything, not anything at all.",1,0.0
How many different descriptions do black folks have for describing someone's skin shade/tone? Quote this tweet and tell us!,1,0.0
"I just kinda died for you, you just kinda stared at me",1,0.0
"You can have all the technology in the world, but still be living in the dark",1,0.0
"There are earthquakes on the moon. They're called ""moonquakes.""",1,0.0
All I want for Christmas is you baby!,1,0.0
People just oughta stop being so awful to each other.,1,0.0
"I don’t care how many times I see it, I will NEVER comprehend the fact that people have to use GoFundMe for medical bills in this country.",1,0.0
"Arizona: ""There will be people lining up for you."" Callie: ""You wanna give me some names?"" Arizona: ""I think you'll know.""",1,0.0
People of all pronouns are hot.,1,0.0
Imagine how lame drag and Drag Race would be without the contributions of trans performers.,1,0.0
"Sad to see reach for the wall go, you'll be missed",1,0.0
if she's old enough to bleed she's old enough to have decisions about her healthcare be in the hands of old white men,1,0.0
Do you know what 'Strong Black Woman' syndrome/identity is? Do you know women who are struggling with this? Are YOU?!,1,0.0
Why does greys always have the best music....,1,0.0
I scroll through twitter endlessly looking for something good or entertaining the same way I used to channels on the old TV set top box.,1,0.0
Mental health Myth or Fact: People with mental health problems can snap out of it if they try hard enough? NMMHAM What r other MH myths?,1,0.0
I never realized how easy and undemanding having one child was until we added a second child.,1,0.0
"""Latchkey incontinence"" is the phenomenon where the closer you get to a bathroom, the more you need to go. It's also referred to as Key-in-Lock Syndrome.",1,0.0
Hitler reportedly had such bad breath that people would involuntarily take a couple of steps back when he opened his mouth.,1,0.0
"Re: colorism, should black moms feel rejected if sons date/marry/prefer women w lighter skin than theirs?",1,0.0
I once got screamed at in 2012 by my boss for following an evacuation notice in the middle of hurricane season. He made me drive back through a tornado warning because there was a scheduled rally the next morning.,1,0.0
I’ve forgotten how to tell if pasta is done.,1,0.0
"Of what use is money when all you have is your health? HIV is no longer a death sentence, get treatment and be fine.",1,0.0
It's possible to be gay and still read your Bible and love the Lord.,1,0.0
"On my recent trip to wherever, I couldn't believe how great that thing was.",1,0.0
"The first chocolate bar was made in 1847. Before that, chocolate was only a drink.",1,0.0
1/4 Am I the only tweet iatric ian that refers to the infants I saw in my FIRST year of practice as 'my babies?' My babies are turning 14 this year and it seems like yesterday I was cuddling them as newborns ©. I still walk into the room expecting that squishy little face.,1,0.0
going to the mosque tomorrow for the first time in forever Eid Mubarak everyone,1,0.0
The amount of Nutella produced every year weighs as much as the Empire State Building. That much chocolate could circle the world 1.8 times.,1,0.0
"This is my favorite time of year: every Sunday, the boys come over, we order hot wings and watch ""Love Actually.""",1,0.0
"Hello Twitter, I'm gay and okay with it. I'm gay and I love myself I'm gay and still a man..",1,0.0
Don't make the mistake of always liking other girls pictures and barely any of the one you're dating,1,0.0
"Nicholas Cage almost played Neo, Willy Wonka and Superman.",1,0.0
Colorism is alive and well in the black comm'y. What's colorism really about?,1,0.0
If Laura Dern and Brad Pitt win best supporting actor I think they should have to go on a date too,1,0.0
