sentence,predicted,correct_label
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
"I can't never remember if I'm lisdexic Or epileptikjlfasd,md,.dsaf-aaaaafddasfrwe",0,1.0
Decapitating Vamps and taking names. That's how we do!!! Supernatura I Vamps Suck,0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1.0
"In Norway, it takes three years of higher education to become a police officer. Graduates are awarded a Bachelor's degree in Police Studies.",1,0.0
More planes were destroyed in World War II than there are planes on Earth today.,1,0.0
Midnight Sky? Best Miley song ever?,1,0.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0.0
Ladies take him with you shopping and ask him to choose some outfits which he would like you to wear.,1,0.0
Welp time to watch Eastern Promises,1,0.0
About one in eight Americans eat pizza on any given day.,1,0.0
To people like JK Rowling I have a serious question. . . Where are all of these hypothetical bathroom attacks from trans women?,1,0.0
"Only one plane was allowed to take off after all others were grounded on September 11th, 2001. It was a plane carrying antivenin to a man who was bitten by a highly venomous snake. The plane was escorted by two fighter jets.",1,0.0
"Correction: It is WORLD Prematurity Day. Women w/ increased risk: low income, African American OR birthing b4 17 yrs old or after 35 yo",1,0.0
Tinder made its first match on the continent of Antarctica in 2014. Both people were research scientists.,1,0.0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0.0
Pandas sometimes fake pregnancies to receive more food and special treatment from humans.,1,0.0
"The rules for playing basketball in North Korea are different. Slam dunks are three points, ""nothing but net"" shots are four points and teams lose points when they miss free throws.",1,0.0
I wish these guys would get outta the bunker and do something!!!!!,1,0.0
"Mike Myers initially wanted Jim Carrey to play Dr. Evil in ""Austin Powers,"" but Carrey passed due to scheduling issues with ""Liar Liar."" Myers then played the iconic role himself.",1,0.0
Are we still taking mental health seriously in the black community? Or have we slacked off because there's no current media driven crisis?,1,0.0
Whats the best and worst job you had? Auntie Red Tweet Tea,1,0.0
"The term ""Adam's apple"" comes from an ancient belief that a piece of the forbidden fruit got stuck in his throat, resulting in a lump.",1,0.0
There are about ten states with laws that prohibit registered sex offenders from handing out candy or having Halloween lawn decorations on October 31st.,1,0.0
"In Ancient Rome, the working class would evacuate entire cities in acts of revolt called ""Secessions of the Plebeians."" After leaving the elite to fend for themselves, commercial transactions would stop, and workshops would have to close.",1,0.0
"Use ""Actimist Eye Spray"" from Optrex. Spray it on your eyes after reading/computer, it'll gives u instant relief from eye stress eyes",1,0.0
Good afternoon everyone! What mental health topic do you want to see more about on BMHN? Providers? Depression? Anxiety? Trauma? Suicide?,1,0.0
"After God created us all, He said to creation: "" It is good"". Fat, slim, muscular, pot bellied, we ALL are good in God's eyes. Never conform to the world's definition of beauty. Or else you will suffer depression and inferiority complex.",1,0.0
How many different descriptions do black folks have for describing someone's skin shade/tone? Quote this tweet and tell us!,1,0.0
"Nikola Tesla was able to perform integral calculus in his head, often causing his teachers to assume that he was cheating.",1,0.0
Phoebe Bridgers AND Phoebe Waller Bridge?!?,1,0.0
"I just kinda died for you, you just kinda stared at me",1,0.0
Whoever needs to read this should know that your parents did the best they could with what they had.,1,0.0
"The Chinese government owns almost all the giant pandas on Earth and leases them to zoos for up to $1 million a year. Most zoos sign a 10-year ""panda diplomacy"" contract and pay an extra $400,000 if any cubs are born.",1,0.0
"Black people are trendsetters. Big tobacco has used the black panthers, women's lib, hip-hop, our celebrities to sell. Don't let 'em use us.",1,0.0
Today is National Cold Cuts Day! What is your favorite deli sandwich? ¥ª,1,0.0
House reno question! Does anyone know of a good mosaic tile artist or website?,1,0.0
"There are earthquakes on the moon. They're called ""moonquakes.""",1,0.0
Mike Tyson loved raising pigeons when he was young and the first fight he ever got into was with a kid who ripped the head off one of his birds. Tyson said the pigeon was the first thing he ever loved in his life.,1,0.0
"I don’t care how many times I see it, I will NEVER comprehend the fact that people have to use GoFundMe for medical bills in this country.",1,0.0
"Arizona: ""There will be people lining up for you."" Callie: ""You wanna give me some names?"" Arizona: ""I think you'll know.""",1,0.0
People of all pronouns are hot.,1,0.0
Imagine how lame drag and Drag Race would be without the contributions of trans performers.,1,0.0
"""The crazy party girl thing? That's crap. Every girl who climbs on a table thinks she's the hottest girl. But really she's dancing alone.""",1,0.0
