sentence,predicted,correct_label
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
"Abdul, my neighbour was crying... ""What's wrong?"" I asked. ""We lost our baby daughter, cot death"" he replied. ""Oh dear, that's so sad, never mind Abdul"" I said, ""just think of her as another virgin in paradise for your brave soldiers now""",0,1.0
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1.0
take more than 5 minutes to respond to a text and she will think you are not paying attention to her,0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you ""just be yourself"". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1.0
Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,0,1.0
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1.0
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1.0
"Being an adult means eating what you want when you want. But it also means realizing you're not capable of making healthy choices, so you get a personal trainer to make a meal plan for you. But when he does you say 'No one is telling me what to eat. Screw that guy. I'm an adult'.",0,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1.0
How do you navigate holidays like father's day in queer relationships where the bio dad isn't involved? Auntie Red Tweet Tea,0,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1.0
Met gayla.,0,1.0
"Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",0,1.0
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1.0
People with gender dysphoria tend to be great businessmen. Every action they take is a trans-action.,0,1.0
"Sins are like viruses, it's better you keep them to yourself",0,1.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0.0
Ladies take him with you shopping and ask him to choose some outfits which he would like you to wear.,1,0.0
Welp time to watch Eastern Promises,1,0.0
To people like JK Rowling I have a serious question. . . Where are all of these hypothetical bathroom attacks from trans women?,1,0.0
"Correction: It is WORLD Prematurity Day. Women w/ increased risk: low income, African American OR birthing b4 17 yrs old or after 35 yo",1,0.0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0.0
"The rules for playing basketball in North Korea are different. Slam dunks are three points, ""nothing but net"" shots are four points and teams lose points when they miss free throws.",1,0.0
Traveling? Start your holiday off right and give yourself time to spare. Better to be early than on-time/late and frazzled!!,1,0.0
Phoebe Bridgers AND Phoebe Waller Bridge?!?,1,0.0
"I just kinda died for you, you just kinda stared at me",1,0.0
Whoever needs to read this should know that your parents did the best they could with what they had.,1,0.0
"Black people are trendsetters. Big tobacco has used the black panthers, women's lib, hip-hop, our celebrities to sell. Don't let 'em use us.",1,0.0
House reno question! Does anyone know of a good mosaic tile artist or website?,1,0.0
All I want for Christmas is you baby!,1,0.0
People just oughta stop being so awful to each other.,1,0.0
"I don’t care how many times I see it, I will NEVER comprehend the fact that people have to use GoFundMe for medical bills in this country.",1,0.0
"Arizona: ""There will be people lining up for you."" Callie: ""You wanna give me some names?"" Arizona: ""I think you'll know.""",1,0.0
People of all pronouns are hot.,1,0.0
Imagine how lame drag and Drag Race would be without the contributions of trans performers.,1,0.0
if she's old enough to bleed she's old enough to have decisions about her healthcare be in the hands of old white men,1,0.0
Why does greys always have the best music....,1,0.0
I scroll through twitter endlessly looking for something good or entertaining the same way I used to channels on the old TV set top box.,1,0.0
Psychology says: You don't really need someone to complete you. You only need someone to accept you completely.,1,0.0
Surprise surprise surprise!,1,0.0
I never realized how easy and undemanding having one child was until we added a second child.,1,0.0
Hitler reportedly had such bad breath that people would involuntarily take a couple of steps back when he opened his mouth.,1,0.0
"Re: colorism, should black moms feel rejected if sons date/marry/prefer women w lighter skin than theirs?",1,0.0
I once got screamed at in 2012 by my boss for following an evacuation notice in the middle of hurricane season. He made me drive back through a tornado warning because there was a scheduled rally the next morning.,1,0.0
I’ve forgotten how to tell if pasta is done.,1,0.0
"Of what use is money when all you have is your health? HIV is no longer a death sentence, get treatment and be fine.",1,0.0
"Marriage means less ""me"" and more ""we""",1,0.0
It's possible to be gay and still read your Bible and love the Lord.,1,0.0
"On my recent trip to wherever, I couldn't believe how great that thing was.",1,0.0
Kiss her in front of other girls that way she knows she's not a secret.,1,0.0
going to the mosque tomorrow for the first time in forever Eid Mubarak everyone,1,0.0
The first table read of season 10 is today! YAY!,1,0.0
"This is my favorite time of year: every Sunday, the boys come over, we order hot wings and watch ""Love Actually.""",1,0.0
Can't believe I survived the hiatus! The episode tonight better be good! Lol,1,0.0
Colorism is alive and well in the black comm'y. What's colorism really about?,1,0.0
If Laura Dern and Brad Pitt win best supporting actor I think they should have to go on a date too,1,0.0
