sentence,predicted,correct_label
What do you call bad breath that sneaks up on you? Ninjavitis.,0,1.0
"I'm waiting for them to invent a pleasure robot that's so lifelike, it won't have sex with me.",0,1.0
Barack Obama goes to a costume party while giving his wife a piggyback ride. Someone asks him what he's dressed up as and he responds 'I'm a snail!' That's M'Shell on my back,0,1.0
Brad Pitt should have his own line of deodorant called Brad's Pits,0,1.0
"A boy was born of an Indian, Chinese, Irish, and Italian grandmother... They couldn't settle on a name, until it hit them! They named him Ravi O. Lee ",0,1.0
I've been so stressed recently I've been doing that Chinese thing with the needles. You know...heroin.,0,1.0
"My town never changes population. Everytime a girl gets pregnant, a guy leaves town.",0,1.0
Heading to Chinatown after work... I heard it's Erection Day.,1,0.0
"I wanna tell my girlfriend she's using way too much teeth when she goes down on me, but I don't want to hurt her feelings. How do I soften the blow?",0,1.0
You know what they say... Once you go black... You're a single mother.,0,1.0
What happened to the blind circumcisor? He got the sack.,1,0.0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
Turn a regular sofa into a sofa bed by simply forgetting your wife's birthday.,1,0.0
Two nuns walking through the park were confronted by a flasher. The 85-year-old nun immediately had a stroke. The younger one didn't touch it.,0,1.0
My girlfriend complained that I treat her like a slave. So I sold her.,0,1.0
"Movie pitch: Millenials buy a house that turns out to be haunted, but they're just grateful they were able to afford something in a good school district.",0,1.0
"A woman was taking a shower when the doorbell rang. ""It's the blind man"" he called. That's ok, she thought, so she quickly ran downstairs naked to open the door. ""Nice tits"" he said. ""Now, where do you want those blinds?""",0,1.0
What's a cannibal's favourite game? Swallow the leader.,0,1.0
"Every time spellcheck corrects “does” to “dies”, for a split second I panic that the subject of the sentence that has passed away",0,1.0
"Here in California Catholics use non-fat, high fiber communion wafers. They call them ""I can't believe it's not Jesus""",0,1.0
What do you call a caveman's fart? A blast from the past.,0,1.0
I never chase a man. I always go for the ones who are too fat to run.,0,1.0
What bird never knows the lyrics to a song? A hummingbird.,0,1.0
"Everybody's a gangster until they get punched in the mouth - Mike Tyson And after that, everybody's a gangthter.",0,1.0
"It's exciting that the LA Dodgers will be playing in the World Series, unless of course their pilots get picked up.",1,0.0
DRINKING A CUP OF HOT COFFEE: Delicious! DRINKING A CUP OF ICED COFFEE: Fantastic! DRINKING A CUP OF COFFEE AT ANY TEMPERATURE IN BETWEEN: The devil is alive and he's winning.,0,1.0
Why are European cars the lightest? because there's no Americans sitting in them.,0,1.0
Ate reduced fat cheese on low calorie bread and my taste buds had me indicted for hate crimes.,0,1.0
"How many gay men does it take to screw in a light bulb? Only one, but it takes the entire emergency room to remove it.",0,1.0
What do you call a homosexual in a wheelchair? Rolaids.,1,0.0
"Why are muslim people so kind-hearted? Because they don't live long, especially when they're a bomb",0,1.0
"The collective noun for kangaroos is a ""troop"". What is the collective noun for cars? A lot.",1,0.0
Where did I take my pet Cow on Valentines Day? To the Moooovies rofl,0,1.0
What do you call your Mexican crush? Juan Andonle,0,1.0
god: [watching my life] oh this guy's definitely getting into heaven me: [waves goodbye to my poop as i flush] god: wait,1,0.0
"What question would confuse a transsexual who used to be a woman? ""Have you ever been abroad?""",0,1.0
I bought my wife some gloves and a sex toy for her birthday if she doesn't like the gloves she can go f*ck herself,0,1.0
Where does a catholic cat go when it dies? Purrrgatory.,0,1.0
Why did the blind kid fail geometry? He didnt see the point.,0,1.0
"What lies on its back, 100 feet in the air? A dead centipede.",1,0.0
What's the difference between magic and black magic? Black magic doesn't work.,0,1.0
