sentence,predicted,transformer,featurizer,correct_label
Black women make the best wives. You can't see their bruises.,0,1,1,1.0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1,1,1.0
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,0,1,1,1.0
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1,1,1.0
You shouldn't bully someone in a wheelchair - they can't stand up for themselves.,0,1,1,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1,1,1.0
When you smoke marijuana on a boat it's called sea weed. Thanks for following and stay tuned for more of these great tweets.,0,1,1,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1,1,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1,1,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1,1,1.0
take more than 5 minutes to respond to a text and she will think you are not paying attention to her,0,1,1,1.0
"Years from now, historians will look back on this period of American History and move to Canada.",0,1,1,1.0
"Justice is best served cold. Because if it were served warm, it would be justwater.",0,1,1,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1,1,1.0
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you ""just be yourself"". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1,1,1.0
Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,0,1,1,1.0
