sentence,predicted,correct_label
"My girlfriend is like the square root of -100. She's a 10, but she's imaginary.",1,0.0
I met a girl who said she liked Imagine Dragons. I asked her if she could Imagine Dragon these nuts across her chin.,1,0.0
"I'm waiting for them to invent a pleasure robot that's so lifelike, it won't have sex with me.",0,1.0
"Baby yoda = delight, ancient yoda = enchanting, teen yoda = friggin impossible",1,0.0
"A boy was born of an Indian, Chinese, Irish, and Italian grandmother... They couldn't settle on a name, until it hit them! They named him Ravi O. Lee ",0,1.0
I've been so stressed recently I've been doing that Chinese thing with the needles. You know...heroin.,0,1.0
"My town never changes population. Everytime a girl gets pregnant, a guy leaves town.",0,1.0
Heading to Chinatown after work... I heard it's Erection Day.,1,0.0
*takes cute picture with child for Instagram *writes inspirational post about being a good parent while ignoring child for 45 mins,1,0.0
"This girl I like said she didn't like bondage..... ....Me either, but you're the one who said No.",0,1.0
What do they call mosquitoes in Pakistan? Churchitoes,1,0.0
You know what they say... Once you go black... You're a single mother.,0,1.0
"Hey grandson, what's the name of that german man who makes me go crazy? Alzheimer, grandma, Alzheimer...",1,0.0
Did you hear about the Leper going for the masturbation world record? Eventually he pulled it off!,0,1.0
What happened to the blind circumcisor? He got the sack.,1,0.0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
Turn a regular sofa into a sofa bed by simply forgetting your wife's birthday.,1,0.0
"I tried telling a joke my friend from Baghdad told me. Unfortunately, Iraqed it.",1,0.0
I bet deaf people get really confused when they talk to someone who is applying hand lotion...,1,0.0
What do you call a group of confused Spanish speaking racists? The Qué Qué Qué,1,0.0
My girlfriend complained that I treat her like a slave. So I sold her.,0,1.0
"Movie pitch: Millenials buy a house that turns out to be haunted, but they're just grateful they were able to afford something in a good school district.",0,1.0
"[at the gym] Him: Hey man, could you spot me? Me: Sure. What do you need... 10... 20 bucks? Him: Uhh..? Me: Just kidding. I have no money.",0,1.0
"U2 are one of Ireland's most successful bands. Or according to their tax returns, one of Netherlands' least successful hardware store owners.",0,1.0
What's a cannibal's favourite game? Swallow the leader.,0,1.0
"Today I saw a little boy wearing rags sitting on a curb. I said, ""Awww, are you an orphan""? He said, ""Yes, what gave me away?"" I said, ""Your parents.""",0,1.0
I never chase a man. I always go for the ones who are too fat to run.,0,1.0
