sentence,predicted,correct_label
"My girlfriend is like the square root of -100. She's a 10, but she's imaginary.",1,0.0
I met a girl who said she liked Imagine Dragons. I asked her if she could Imagine Dragon these nuts across her chin.,1,0.0
"I'm waiting for them to invent a pleasure robot that's so lifelike, it won't have sex with me.",0,1.0
"A boy was born of an Indian, Chinese, Irish, and Italian grandmother... They couldn't settle on a name, until it hit them! They named him Ravi O. Lee ",0,1.0
I've been so stressed recently I've been doing that Chinese thing with the needles. You know...heroin.,0,1.0
"My town never changes population. Everytime a girl gets pregnant, a guy leaves town.",0,1.0
"I wanna tell my girlfriend she's using way too much teeth when she goes down on me, but I don't want to hurt her feelings. How do I soften the blow?",0,1.0
"This girl I like said she didn't like bondage..... ....Me either, but you're the one who said No.",0,1.0
What do they call mosquitoes in Pakistan? Churchitoes,1,0.0
You know what they say... Once you go black... You're a single mother.,0,1.0
"Hey grandson, what's the name of that german man who makes me go crazy? Alzheimer, grandma, Alzheimer...",1,0.0
I got down on one knee in the middle of a busy restaurant and pulled out the ring. The whole place was in tears! 'Marry me... and I'll put it back in the grenade.',1,0.0
What happened to the blind circumcisor? He got the sack.,1,0.0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
Turn a regular sofa into a sofa bed by simply forgetting your wife's birthday.,1,0.0
"When I put the left AirPod in my left ear on the first try, I know it's gonna be a great day.",1,0.0
"I tried telling a joke my friend from Baghdad told me. Unfortunately, Iraqed it.",1,0.0
I bet deaf people get really confused when they talk to someone who is applying hand lotion...,1,0.0
My girlfriend complained that I treat her like a slave. So I sold her.,0,1.0
"Movie pitch: Millenials buy a house that turns out to be haunted, but they're just grateful they were able to afford something in a good school district.",0,1.0
"A woman was taking a shower when the doorbell rang. ""It's the blind man"" he called. That's ok, she thought, so she quickly ran downstairs naked to open the door. ""Nice tits"" he said. ""Now, where do you want those blinds?""",0,1.0
"Here in California Catholics use non-fat, high fiber communion wafers. They call them ""I can't believe it's not Jesus""",0,1.0
What do you call a caveman's fart? A blast from the past.,0,1.0
You know it's time to move on when she develops an immunity to Rohypnol.,1,0.0
My wife has threatened to leave me because of my obsession with horoscopes. It's taurus apart.,0,1.0
"The horse favored to win the Kentucky Derby had to pull out of the race. Apparently, someone dug up some of his homophobic tweets.",1,0.0
