sentence,predicted,correct_label
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,0,1.0
"I can't never remember if I'm lisdexic Or epileptikjlfasd,md,.dsaf-aaaaafddasfrwe",0,1.0
I should rename myself Summer. All girls want is Summer to come.,0,1.0
Decapitating Vamps and taking names. That's how we do!!! Supernatura I Vamps Suck,0,1.0
I open my phone and read your text. The news is so horrific and heartbreaking I have no idea how to respond. I type 'my condolences' into the GIF search.,0,1.0
The way to her heart: make her a bomb as sopita with limon and tapatio,0,1.0
"Girlfriend: ""babe it's hot I need a fan"" [Boyfriend starts taking pictures with her and BEGGING for autographs]",0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
There might be plenty of good food choices in College.. .. but you can't Top Ramen,0,1.0
Yo mama so greasy she sweats Crisco!,0,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1.0
What wine pairs best with doing your taxes?,0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,0,1.0
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1.0
"WHEN SOMETHING BAD HAPPENS TO SOMEONE I LIKE: This universe is a cruel and random place. There is no cosmic justice. WHEN SOMETHING BAD HAPPENS TO SOMEONE I DON'T LIKE: Karma strikes again, baby!!!",0,1.0
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1.0
Worked out legs n nalgas yesterday. Everything hurts. I can't even hold in my farts.,0,1.0
"Did you hear about the girl so in love, she'd rather blow her boyfriend than go out shoe shopping? Talk about head over heels!",0,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1.0
Met gayla.,0,1.0
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1.0
People with gender dysphoria tend to be great businessmen. Every action they take is a trans-action.,0,1.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0.0
