sentence,predicted,correct_label
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,0,1.0
"When I put the left AirPod in my left ear on the first try, I know it's gonna be a great day.",0,1.0
You know it's time to move on when she develops an immunity to Rohypnol.,0,1.0
"Everybody's a gangster until they get punched in the mouth - Mike Tyson And after that, everybody's a gangthter.",0,1.0
"I can't never remember if I'm lisdexic Or epileptikjlfasd,md,.dsaf-aaaaafddasfrwe",0,1.0
I met this amazing girl while speed dating. We stayed up all night and day just talking and giggling and I guess speed will do that to you.,0,1.0
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1.0
I open my phone and read your text. The news is so horrific and heartbreaking I have no idea how to respond. I type 'my condolences' into the GIF search.,0,1.0
"When you want someone to get out of your way, establish dominance by saying 'ex-squeeze me'",0,1.0
The way to her heart: make her a bomb as sopita with limon and tapatio,0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
Michelle’s speech will be the ASMR video that lulls me to sleep for the next year.,0,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1.0
"After God created 24 hours of alternating darkness and light, one of the angels asked him, ""what are you going to do now?"" God said, ""I think I'm going to call it a day.""",0,1.0
They all laughed when I told them that one day I would discover the secrets of invisibility. If only they could see me now.,0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1.0
take more than 5 minutes to respond to a text and she will think you are not paying attention to her,0,1.0
What wine pairs best with doing your taxes?,0,1.0
My Viagra addiction... Was the hardest time of my life.,0,1.0
"Justice is best served cold. Because if it were served warm, it would be justwater.",0,1.0
There is nothing wrong with exploring one's sexuality--and that is my message to the California Highway Patrol.,0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you ""just be yourself"". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1.0
Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,0,1.0
did you know you can tell how much a girl likes you by the position of their feet Chances are if her feet are next to her ears she really likes you.,0,1.0
