sentence,predicted,correct_label
"A man inserted an advertisement in the classifieds ""Wife Wanted"". The next day, he received 1000 of replies, all reading: ""You can have mine."" Free delivery also available at your door step",0,1
Told my mom I hit 1200 Twitter followers. She pointed out how my brother owns a house and I'm wanted by several collection agencies. Oh ma!,0,1
"When you march the streets shouting with people it's civil disobedience, but do it drunk by yourself and it's an involuntary 72-hour hold",0,1
My wife left me because she said I made a meal out of everything. I intend to make her eat those words.,0,1
"What's a specimen? Mama mia, it's an Italian astronaut!",1,0
"I asked a pretty, young, homeless woman if I could take her home, and she said yes with a big smile. The look on her face soon changed when I walked off with her cardboard box.",0,1
Damn girl! Your name must be Ebola... All I can think about is you spreading.,1,0
Anybody that eats Tide pods is an idiot. They could go to Costco and get the generic brand for half the price.,0,1
"BIKER: What should we name the gang? OTHER BIKER WHO IS ACTUALLY A REALLY TALENTED WRITER BUT WAS NEVER ENCOURAGED AS A CHILD TO PURSUE HIS GIFT SO HE FOUND COMMUNITY WITH A ROUGH BUT LOYAL GROUP OF GUYS: How about... The Hell's Angels. BIKER: Damn, man. Yes.",1,0
I never finish anything. I have a black belt in partial arts.,0,1
"Two meth heads start a relationship, is that considered speed dating... Or just mething around?",0,1
"Ten years after my death, my best friend finally opens the package I left him in my will. He's confused by the empty box. He wonders if there's been a mistake. Then, he smells the fart. Laughing, my ghost can now rest in peace.",1,0
I only believe 12.5% of the Bible. Which means that I'm an eightheist,0,1
Why do Americans have good computers? Because they have no troubleshooting.,0,1
"I want to watch a chick flick, with my chick, as we eat chick-fil-a on a Sunday",0,1
"My wife was disappointed to find out why my nickname in college was ""The Love Machine."" I sucked at tennis.",0,1
Twitter: You need to have more conversations with other users in order to be successful on Twitter Me: *closes Twitter account*,1,0
"I'm so angry at Facebook. I can't believe they would leak my information after I signed up without reading any of the legal documentation, volunteered all the personal details about my life, and let them track my internet activity. How could they do this to me?",0,1
I used to get so upset by this one twitter account that went out of their way to shade me constantly. They knew everything I’d ever done and read every article about me and had a criticism for all of it. Then I realized: they’re watching EVERYTHING i do! They’re my biggest fan!,0,1
"Last night my wife and I watched 2 hours of cooking shows, before she hugged me and went to bed. I'm pretty sure I'm in the friend zone.",0,1
Why are gay men always first to check-out of a hotel? They had their shit packed the night before.,0,1
"Someone is suing Canada Dry Ginger Ale because it contains no ginger, so I'd like to formally announce my lawsuit against Panda Express.",0,1
Time to fulfill my dream of marketing my own line of artisanal antifreeze.,0,1
"I just saw a sign in a shop window that read... ""I would rather have a 1000 muslim customers than have one US soldier in my shop"" The Funeral directors crack me up!",1,0
What do you call a sad terrorist? A crisis,0,1
"So I heard ladies like bad boys. Lucky for them, I'm bad at everything",0,1
I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,0,1
[about to invent social media] 'What if there was a way to be overwhelmed with politics all the time instead of just every 4 years at the election?',1,0
"An English man asked an American how he liked his tea The American replied, ""in the harbor.""",1,0
Why do girls always get mad when I try to read their shirts? It's not my fault I'm blind.,0,1
"A fat man was standing in front of a kindergarten One of the teachers comes and asks him: ""Are you expecting a child?"" ""No. I am a bit fat that's all""",1,0
me: [gets up from movie] dog: want me to paws it for you? me: oh sure-wait did you say paws dog: lol me: oh my god lmao,1,0
"*bird flies in my house through the chimney, I calmly walk out the front door and lock it* Goodbye, house.",1,0
I got thrown out a strip club last night for using monopoly money. I don't see why I should pay real money to see fake boobs.,0,1
Mattel released a Muslim Barbie... It's a blow-up doll.,1,0
"Of all the ways to go to hell, in a hand basket sounds the most pleasant.",0,1
"ME SEEING A PICTURE OF THE MARS ROVER: I love you, mars rover. ME WATCHING AN EPISODE OF PLANET EARTH: I love you, David Attenborough ME SEEING MY DAD IN PERSON: Hey, dude.",1,0
I didn't know what to wear to the premature ejaculation club so i just came in my pants,0,1
Comic book plot idea: Catwoman dies after having the uncontrollable urge to chase after Superman's laser vision.,1,0
The best part of going to a 3D movie is how everyone in the theater looks like Roy Orbison.,0,1
"Sitting here wondering when a spiderweb becomes a cob. Like Plato, Aristotle, and the others.",0,1
What do you call someone who cleans a vaccum cleaner? A vacuum cleaner.,0,1
What did the french chef give his wife on Valentine's day? A hug and a little quiche.,0,1
Two cheese trucks ran into each other. De brie was everywhere.,0,1
me: what does ama mean friend: ask me anything me: what does ama mean,1,0
What do you call an Irishman who bounces off of walls? Rick O'Shea.,0,1
It's weird how I can come up with the wittiest things to say when I'm in the shower... too bad none of the other guys showering at the gym appreciate my humor,0,1
"Two condoms walk by a gay bar... One says to the other, ""Wanna go inside and get shitfaced?""",1,0
What do you call a black man flying a plane? The pilot.,0,1
How can you tell the inventor of the toothbrush was from West Virginia? If he was from anywhere else it would be called a teethbrush.,0,1
I was blocked by the Game of Thrones Twitter account because I said I'm rooting for the White Walkers because they're white.,0,1
"Duck Dynasty guy is right-- if we baptize all those ISIS guys, Iraq will be safe because Christians never start wars for bullshit reasons.",0,1
"Why do only 10% of men make it to heaven? Because if they all went, it would be Hell.",0,1
My Muslim wife left me the other day. I guess she didn't know what Jihad.,0,1
My new girlfriend told me I'm terrible in bed I told her it's unfair to make a judgement in less than a minute.,0,1
"Instead of murder/suicide, I'm contemplating the rare suicide/murder, whereby I jump out a high window and land on my girlfriend.",0,1
Why did the blonde have a sore belly-button? Because she had a blond boyfriend.,0,1
Which branch of the United States military is the most patriotic? The Air Force; they're US AF,0,1
So many people these days are too judgmental I can tell just by looking at them.,0,1
The worst pub I've ever been in was called The Fiddle. It was a vile inn.,0,1
"My father once told me, ""Son, you're not an African't American, You're an African American't."" Just kidding. I'm black. I don't have a father.",0,1
*Chooses paper towels instead of the hand dryer right as a tree walks into the bathroom*,1,0
"How do you figure out which contestant in a Ms. America pageant is a prostitute? Look for the one with the sash that says ""I da ho"".",0,1
"My iPhone just autocorrected the word nigga to NIGGA, like whoa iPhone. You can't just go around yelling the N word. Jesus.",0,1
I was going to visit Bangkok... but then I said Phuket. ROFL,0,1
"What do you do when you see a space man? Park your car, man.",0,1
What does a dildo and a selfie stick have in common? They both have a cunt at the other end,0,1
Welcome to your forties. Your eyebrows are now bushy enough you can see them without using a mirror.,0,1
I got my wife something special for our Anniversary. She looked after my Downs Syndrome cousin while I went to the pub with my mates.,0,1
Serious question: when did the Dark Web and the normal one switch places?,1,0
me: [posing cute for a picture] mugshot photographer: i said stop it,1,0
"My wife always accuses me of having a favourite child. It's not true, I love Matthew and Not-Matthew equally.",0,1
What do you call a redhead with a yeast infection? Gingerbread,0,1
What do you call a Muslim Flying an airplane A pilot,0,1
I once had a friend who was addicted to drinking break fluid.. But he said he could stop whenever he wanted!,0,1
Q: What do peroxide blonds and black men have in common? A: They both have black roots.,1,0
What's the hardest part of washing a vegetable? putting them back in the wheelchair,0,1
If jews had a planet I would call it Jewpiter,0,1
"Stephen King has a son named Joe. I'm not joking, but he is.",0,1
I like jokes about the eyes. The cornea the better.,0,1
What do you call a pile of kittens? A meowntain.,0,1
I love when they drop the ball in Times Square. It's a nice reminder of what I did all year.,0,1
"Killing spiders is easy and fulfilling if you imagine them whispering ""You look fat in those pants"".",0,1
"Rolled my first joint last night. Fuck, my ankle hurts this morning",0,1
What type of wife always knows where her husband is? A widow,0,1
Headless mannequins are great because they let you see how you'll look wearing a new shirt after you've been decapitated.,0,1
"What if Stephen Hawking is the real Slim Shady? But we'll never know, because he can't stand up?",0,1
teacher: alright today we have a speaker to talk about why drugs are bad me: [rollerblades through the door but i'm so high i run straight into the wall],1,0
How does Bill Clinton get an intern into his office? He calls her on his sexyphone.,1,0
My wife found out i was cheating on her after she found all the letters I was hiding. She got so mad and said she's never gonna play scrabble with me ever again,0,1
"Bob told his wife, ""I can't work for him anymore after what he said to me"". Wife: What did he say? Bob: You're fired",1,0
"My wife wears my t-shirts around the house sometimes, but the minute I put on one of her business suits to mow the lawn I get in trouble.",0,1
[couples therapy] ME: She thinks I make bad decisions WIFE: He traded our car for a skateboard THERAPIST: *writing notes* This guy rules,1,0
A leading rabbi has ruled that marijuana is kosher Now we know what kids are gonna be doing for the Jewish High Holidays...,0,1
"How many gay men does it take to change a lightbulb? ""Ummm ... forget about the changing the lightbulb, honey, maybe let's start with changing those curtains""",1,0
"Is anyone else listening to that podcast in their car, the one with the sobbing woman who says I'm not a podcast, damn it, I'm your wife, what's wrong with you?",0,1
What Do You Call A Bad Mexican Restaurant? Shitpotle,0,1
What do you call an Irish man sitting in his garden? Paddy O'Furniture. haha,0,1
Which country is filled with very poor singers? Singapore.,0,1
Me: I weighed myself before and after I used the bathroom and I was heavier after Wife: How? M: Eating pie on the toilet W: You're disgusting,1,0
I have a very specific kind of OCD where I like to buy a dozen donuts and a dozen donut holes and then reunite them.,0,1
Do all black people have a problem with slavery? Or just mine?,0,1
"I was recently burgled. They took my life preserver, my AED and my portable oxygen tank. It was my entire life savings.",0,1
Just realized I’ve been calling somebody “Ty”who was just signing his texts “thank you”. Im 80,1,0
"Hell hath no fury like your kid catching you throwing away anything, EVER. I smuggle out broken crayons like a mexican drug lord.",0,1
Don't buy whitening toothpaste It says guaranteed whiteness in 14 days. 15 days have come and gone... and I am still asian.,0,1
*In job interview* And what would you say is your best quality. *I silently stand and start moving chairs to make room to do the splits*,1,0
Have you seen the Passion of the Christ? [Spoiler Alert] he dies in the end. rofl,1,0
I wanna be the reason you get out of bed in the morning.... Even if it is to make sure the door is locked.,0,1
What did Barack Obama say when he dropped his shell at the beach? Oh no Michelle! corny,1,0
In the 2 decades I've been using USB connectors I don't think I have EVER put one in properly without having to flip it over. Not. One. Time.,0,1
[doing prison visitation] Death row inmate: I am so scared of dying Me: I know exactly what you're going through Inmate: How could you possibly? Me: *shows phone with text from my wife saying 'we need to talk later'* Inmate: Oh wow. I'm actually kind of glad I'm in here now,1,0
"Good thing girls started uploading pictures next to a pool with the caption ""Summer is finally here!"" or we wouldn't have  known it's summer.",0,1
Got asked by two Thai girls if I wanted a threesome. They said it would be like winning the lottery. To my horror they were right: we had six matching balls.,0,1
So I'm gay and single .... Does that make me homolone?,0,1
"How much does it cost to buy a large singing group? 'A choir?' Ok, fine. How much does it cost to 'acquire' a large singing group.",0,1
I had to take the batteries out of the carbon monoxide detector last night. The loud beeping was giving me a headache and made me feel dizzy,0,1
"What do you say when your lesbian daughter brings home her girlfriend? ""Are you going to be staying for dinner or eating out?""",0,1
Wayyyyy too many women are out here trying to fix men they didn't break.,0,1
It's normal for married couples to fight. The trick is for you and your spouse to find a couple you can easily beat up.,0,1
You guys keep talking about drinking alcohol out of a brown bag. How does it work? Mine keeps leaking like crazy when I pour it in there.,0,1
30 days hath September Same for some months that I can't remember A bunch of the months have 31 They need a better rhyme that rhyme is dumb,0,1
"A man walks into a doctors office. 'What seems to be the problem?' Asks the doc. 'It's... um... well... I have five penises,' replies the man. 'Blimey!' Says the doctor, 'how do your trousers fit?' 'Like a glove.'",1,0
"Me: I'm so excited to get a good night sleep tonight Brain: Actually, how about we recap all the things you screwed up today",1,0
Everybody changed their job titles to sound less threatening but not landlords. Those little lords still lordin' those lands.,0,1
Who can drink 5 litres of petrol and not become ill? Jerry can.,0,1
Accidentally used my GF's razor and now I feel fat and I'm pretty pissed about something you guys did 3 years ago,0,1
Why did God make farts smell? So that deaf people could enjoy them too.,0,1
"""You the bomb."" ""No, you the bomb."" In America, a compliment. In the Middle East, an argument.",1,0
My girlfriend in college left me for another woman. I completely misunderstood her when she said she was going to study a broad.,0,1
Last weekend my dad caught me smoking a cigarette and for punishment made me smoke until I puked. This weekend I made sure he caught me in bed with my girlfriend.,0,1
"[Water cooler] -Looks like you had a wild weekend! How'd you get the scratches? *flash back to me bathing my cat* -Uh, this chick bro. Yeah.",1,0
Why don't feminists work cash registers? They can't make change.,0,1
"[first day as a undercover police officer] Drug Dealer: Are you a cop? Me: Absolutely not! Why? Drug Dealer: You tried to buy marijuana by calling it 'wacky tabacky' Me: Oh okay, good. I thought it was cause you saw my squad car parked outside Drug dealer: What? Me: What?",1,0
My friend asked me how I got so good at guitar. I told him I'm use to fingering minors.,0,1
"Why was the wife worried that her husband was a light drinker? Every night, he'd go out and drink until it was light.",0,1
