sentence,predicted,correct_label
"A man inserted an advertisement in the classifieds ""Wife Wanted"". The next day, he received 1000 of replies, all reading: ""You can have mine."" Free delivery also available at your door step",0,1
"In 2018, a Missouri deer poacher was ordered to watch ""Bambi"" once a month for the entirety of his year-long prison sentence.",0,1
January is the Monday of months,0,1
"A lumberjack went in to a magic forest to cut a tree. When he got there, he started to swing at a tree when it suddenly shouted, ""Wait! I'm a talking tree!"" The lumberjack laughed and said, ""And you will dialogue.""",0,1
"I'm so angry at Facebook. I can't believe they would leak my information after I signed up without reading any of the legal documentation, volunteered all the personal details about my life, and let them track my internet activity. How could they do this to me?",0,1
I used to get so upset by this one twitter account that went out of their way to shade me constantly. They knew everything I’d ever done and read every article about me and had a criticism for all of it. Then I realized: they’re watching EVERYTHING i do! They’re my biggest fan!,0,1
Did you find it difficult being queer in a Black Greek Letter Org? Auntie Red Tweet Tea,0,1
"I really enjoyed @JimCarrey's ""memoir."" Like Jim, the book is wildly comic, inventive, subversive, and made primarily of compressed paper pulp.",0,1
Yo mama's like the sun you look at her to  long you will go blind!,0,1
"when she farts with you there, consider that a compliment. She is comfortable with you now.",0,1
The main reason I can't get ahead in life is because the system is set up against people like me who are unmotivated and lazy,0,1
We shot this entire scene in an actual 100 year old barn that was still being used for livestock. It smelled lovely. Realistic Film Making,0,1
Listen to your instincts. Your gut is always right. It may be a little bloated sometimes...but it's right.,0,1
"On October 1st, 1861, Charles Darwin wrote in his journal: ""I am very poorly today and very stupid and hate everybody and everything.""",0,1
"The US government once set a bunch of beer next to an atomic blast to see if it would still be drinkable after. Turns out, in the event of a nuclear war, beer is still safe to drink.",0,1
"When you eat the food at the bottom of the food pyramid, all the food on the top makes money.",0,1
"In the new James Bond movie, Bond apologizes to women for his behavior and is never seen again.",0,1
"To the haters on Twitter, if you don't like me or my tweets, I have an important message for you: Would 5 bucks change your mind? I need people to like me because it boosts my low self esteem.",0,1
Science gave us skyscrapers and airplanes... Religion brought them together,0,1
"Martin Short, Steve Martin, and Tom Hanks have 'colonoscopy parties' every other year. They arrive at Steve's house around 5 PM the night before to prepare and travel together the next day to get their colonoscopies.",0,1
There are two words in life that will open a lot of doors for people Push and pull ROFL,0,1
"Ali Yeganeh, the inspiration for the ""Soup Nazi,"" didn't like the Seinfeld character based on him. When Jerry Seinfeld went to his restaurant a few years after the episode aired, Seinfeld sarcastically apologized to him. Yeganeh shouted, ""no soup for you"" and kicked him out.",0,1
Advice is the only commodity where the supply always exceeds the demand.,0,1
"Stephen Hawking believes he's solved a huge mystery about black holes ...and he'll keep believing as long as we all play along, ok? He's adorable.",0,1
"A truck loaded with Vicks Vaporub overturned on the highway. Amazingly, there was no congestion for eight hours.",0,1
You gotta hand it to short people because they can't reach it,0,1
"It's been proven that girls reach the age of puberty earlier than boys. Girls develop tits around the age of 13, boys around the age of 40",0,1
I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,0,1
"As an Queer parent, what's the best way to come out to your teenage children? Auntie Red Tweet Tea",0,1
"Pray like there's no tomorrow, and if tomorrow comes, pray some more",0,1
"Hey all you ""FanFic"" writers out there...that look into the camera wasn't scripted. Just sayin. Wink Wink 200thEpisode",0,1
"If you don't practice what you preach, that doesn't make you a hypocrite, as long as what you preach is hypocrisy.",0,1
"when she says to go do something, don't really go and do it",0,1
What are ways we can address toxic masculinity amongst studs? Auntie Red Tweet Tea,0,1
Twitter should automatically pin your worst tweet to your profile so people could have a realistic understanding of what they're in for,0,1
These last 4 days have been some of the longest and darkest I can remember. Thanks to everyone for the thoughts and prayers while I was without a phone.,0,1
Inspirational Tweet: Always tell the people in your life how much you appreciate them. You don't want to live with regret wishing you had been nicer if something bad happens and you need to borrow money from them.,0,1
There is a fine line between love and iove.,0,1
Don't be worried about your smartphone or TV spying on you. Your vacuum cleaner has been gathering dirt on you for years.,0,1
The Cheez-it Bowl brought to you by...wait for it...Cheez-its,0,1
"This country has become so divided, it might as well be an amoeba. Netflix, where's my comedy special?",0,1
One nice thing about getting older is that you appreciate crackers more. Great taste and accurate name. A+,0,1
Thanks to everyone who sent their thoughts and prayers during my difficult time of slow internet last night.,0,1
Reminds me of scene from Jaws.... LOL,0,1
You could go blind from drinking antifreeze. But what if you're already blind? Then it's just a sweet and delicious refreshment!,0,1
After 40mins someone finally answered. Just to put me on hold for another 15mins LOL. They don't want to let go. GODDAMN THESE LOOKS OF MINE! 24 hour fitness,0,1
Saudi TV Mistake Saudi Arabia TV reported the Brussels attack 15 minutes earlier than it actually happened. Saudi TV sincerely apologizes for this innocent mistake.,0,1
Robert Pattinson once dealt with an obsessed fan by taking her out for dinner and complaining about his life. He says he's able to bore people in two minutes.,0,1
"The benefits of having kids include their cuteness, adorable cuddles, and using them being sick as an excuse to get out of absolutely anything you want.",0,1
"Women love a man brimming with confidence. Because without that, what is there to destroy?",0,1
"Twitter won't inform someone that you've muted them, so make sure you tell them yourself.",0,1
"Chemistry, either you've got it or you don't.",0,1
Envy is the burning desire to have everybody else become as pathetic as you,0,1
"The movie ""Cloudy with a Chance of Meatballs"" was released as ""It's Raining Falafel"" in Israel.",0,1
"I keep my head held high because I know there's a beautiful deaf, mute & blind woman out there that's going to find me irresistible one day.",0,1
"A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",0,1
strongest human urges: 1. sexual reproduction 2. getting someone to feel a soft thing that you just felt to prove how soft it is 3. hydration,0,1
Come on Pizza!!! I'm dying here. Pepperoni Dreaming,0,1
"The internet and social media is like digital mental illness. Some of it is happy, some of it is sad, but most of it makes you say 'wtf is wrong with this place?'",0,1
"In 1836, a sewer worker accidentally discovered an old drain that ran directly into the Bank of England's gold vault. He wrote the bank's directors, requesting a meeting in the vault at an hour of their choosing. He popped out of the floor to greet them.",0,1
